Country,price_weight
Greece,0.8
Croatia,0.7
Cyprus,0.8
Estonia,0.8
Italy,0.85
Hungary,0.7
Latvia,0.75
Lithuania,0.7
Portugal,0.75
Romania,0.7
Slovenia,0.75
Slovakia,0.75
Spain,0.85
Turkey,0.7
